epoch,total,initial,pde,boundary,norm_t0,norm_t025,norm_t05,norm_t075,norm_t1
0,5505.6083984375,1.1142476797103882,5489.154296875,0.5311295986175537,0.2303818017244339,0.20052741467952728,0.16954253613948822,0.20571883022785187,0.22737734019756317
1,5403.7333984375,1.1147607564926147,5387.32080078125,0.5265089273452759,0.22673967480659485,0.19752846658229828,0.16765096783638,0.20253823697566986,0.22393487393856049
2,5294.24609375,1.1177254915237427,5277.85205078125,0.5216743350028992,0.2231462597846985,0.19460414350032806,0.16576039791107178,0.1996297985315323,0.2207905650138855
3,5155.9326171875,1.103265404701233,5139.7568359375,0.514312744140625,0.21992957592010498,0.19200468063354492,0.1640215814113617,0.1969529688358307,0.2178782820701599
4,5085.72265625,1.1107561588287354,5069.51123046875,0.5104060173034668,0.21693569421768188,0.18959972262382507,0.16242650151252747,0.19451935589313507,0.21516631543636322
5,4939.71044921875,1.1051301956176758,4923.5947265625,0.5064571499824524,0.2140694558620453,0.18734130263328552,0.16097503900527954,0.1922408491373062,0.21256659924983978
6,4906.630859375,1.096421718597412,4890.615234375,0.5051382780075073,0.21138079464435577,0.1852208524942398,0.15957829356193542,0.1900625228881836,0.21007758378982544
7,4905.72314453125,1.0901697874069214,4889.837890625,0.49833327531814575,0.2088785469532013,0.183246910572052,0.1582958996295929,0.18806155025959015,0.207781121134758
8,4800.36083984375,1.091230869293213,4784.470703125,0.49779513478279114,0.20653533935546875,0.18142247200012207,0.15710388123989105,0.1861882507801056,0.20557986199855804
9,4603.5087890625,1.0923757553100586,4587.60400390625,0.49811041355133057,0.2044813632965088,0.17983286082744598,0.1561935991048813,0.1845843493938446,0.203582763671875
10,4573.68505859375,1.0859010219573975,4557.9287109375,0.4897632598876953,0.20257379114627838,0.17837879061698914,0.15543437004089355,0.1831049919128418,0.20173245668411255
11,4527.8681640625,1.0778532028198242,4512.19873046875,0.48911482095718384,0.2008076012134552,0.17705442011356354,0.1547742635011673,0.1817496418952942,0.20002330839633942
12,4394.26904296875,1.0786857604980469,4378.64208984375,0.48402562737464905,0.19921846687793732,0.17592234909534454,0.15429216623306274,0.18058036267757416,0.19849793612957
